Order,Sample,count,Age,Strain,Phenotype,Sex,Class
Caulobacterales,BK1,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK2,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK3,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK4,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK5,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK6,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Caulobacterales,BK7,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK8,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK9,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK10,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK11,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BK12,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Caulobacterales,BW1,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW2,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW3,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW4,0.0625,20 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW5,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW6,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Caulobacterales,BW7,0.125,20 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW8,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW9,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW10,0.0625,20 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW11,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Caulobacterales,BW12,0.0625,20 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,AK1,0.031446541,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK2,0.028301887,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK3,0.006289308,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK4,0.009433962,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK5,0.012578616,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK6,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK7,0.012578616,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK8,0.037735849,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK9,0.006289308,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK10,0.012578616,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK11,0.034591195,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AW1,0.050314465,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW2,0.006289308,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW3,0.003144654,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW4,0.006289308,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW5,0.003144654,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW6,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW7,0.006289308,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW8,0.003144654,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW9,0.003144654,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW10,0.003144654,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW11,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,BK1,0.009433962,8 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK2,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK3,0.003144654,8 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK4,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK5,0.003144654,8 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK6,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK7,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK8,0.003144654,8 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK9,0.003144654,8 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK10,0.006289308,8 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK11,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BW1,0.01572327,8 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW2,0.003144654,8 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW3,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW4,0.01572327,8 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW5,0.009433962,8 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW6,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW7,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW8,0.003144654,8 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW9,0.006289308,8 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW10,0.003144654,8 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW11,0.003144654,8 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,AK1,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK2,0.003144654,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK3,0.006289308,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK4,0.003144654,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK5,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK6,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kiloniellales,AK7,0.006289308,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK8,0.012578616,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK9,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK10,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK11,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AK12,0.003144654,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kiloniellales,AW1,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW2,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW3,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW4,0.012578616,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW5,0.009433962,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW6,0.003144654,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kiloniellales,AW7,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW8,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW9,0.037735849,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW10,0.006289308,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW11,0.028301887,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,AW12,0.012578616,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kiloniellales,BK1,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK2,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK3,0.018867925,20 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK4,0.009433962,20 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK5,0.012578616,20 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK6,0.022012579,20 Weeks,B6,KO,F,Alphaproteobacteria
Kiloniellales,BK7,0.006289308,20 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK8,0.009433962,20 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK9,0.031446541,20 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK10,0.009433962,20 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK11,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BK12,0.062893082,20 Weeks,B6,KO,M,Alphaproteobacteria
Kiloniellales,BW1,0.15408805,20 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW2,0.006289308,20 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW3,0.01572327,20 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW4,0.022012579,20 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW5,0.006289308,20 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW6,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Kiloniellales,BW7,0.012578616,20 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW8,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW9,0.009433962,20 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW10,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW11,0.044025157,20 Weeks,B6,WT,M,Alphaproteobacteria
Kiloniellales,BW12,0.037735849,20 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,AK1,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK2,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK3,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK4,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK5,0,8 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK6,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK7,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK8,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK9,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK10,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK11,0,8 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AW1,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW2,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW3,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW4,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW5,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW6,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW7,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW8,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW9,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW10,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW11,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,BK1,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK2,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK3,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK4,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK5,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK6,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK7,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK8,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK9,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK10,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK11,0,8 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BW1,0.260869565,8 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW2,0.043478261,8 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW3,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW4,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW5,0,8 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW6,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW7,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW8,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW9,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW10,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW11,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,AK1,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK2,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK3,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK4,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK5,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK6,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Kordiimonadales,AK7,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK8,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK9,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK10,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK11,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AK12,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
Kordiimonadales,AW1,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW2,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW3,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW4,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW5,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW6,0,20 Weeks,AJ,WT,F,Alphaproteobacteria
Kordiimonadales,AW7,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW8,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW9,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW10,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW11,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,AW12,0,20 Weeks,AJ,WT,M,Alphaproteobacteria
Kordiimonadales,BK1,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK2,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK3,0.086956522,20 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK4,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK5,0,20 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK6,0.043478261,20 Weeks,B6,KO,F,Alphaproteobacteria
Kordiimonadales,BK7,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK8,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK9,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK10,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK11,0,20 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BK12,0.043478261,20 Weeks,B6,KO,M,Alphaproteobacteria
Kordiimonadales,BW1,0.086956522,20 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW2,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW3,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW4,0.086956522,20 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW5,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW6,0,20 Weeks,B6,WT,F,Alphaproteobacteria
Kordiimonadales,BW7,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW8,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW9,0.217391304,20 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW10,0.130434783,20 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW11,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Kordiimonadales,BW12,0,20 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,AK1,0.023305085,8 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK2,0.019067797,8 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK3,0.002118644,8 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK4,0.012711864,8 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK5,0.002118644,8 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK6,0.002118644,8 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK7,0.006355932,8 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK8,0.002118644,8 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK9,0.004237288,8 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK10,0.006355932,8 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK11,0.01059322,8 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AW1,0.036016949,8 Weeks,AJ,WT,F,Alphaproteobacteria
Rhizobiales,AW2,0.006355932,8 Weeks,AJ,WT,F,Alphaproteobacteria
Rhizobiales,AW3,0.004237288,8 Weeks,AJ,WT,F,Alphaproteobacteria
Rhizobiales,AW4,0.002118644,8 Weeks,AJ,WT,F,Alphaproteobacteria
Rhizobiales,AW5,0,8 Weeks,AJ,WT,F,Alphaproteobacteria
Rhizobiales,AW6,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Rhizobiales,AW7,0,8 Weeks,AJ,WT,M,Alphaproteobacteria
Rhizobiales,AW8,0.004237288,8 Weeks,AJ,WT,M,Alphaproteobacteria
Rhizobiales,AW9,0.004237288,8 Weeks,AJ,WT,M,Alphaproteobacteria
Rhizobiales,AW10,0.025423729,8 Weeks,AJ,WT,M,Alphaproteobacteria
Rhizobiales,AW11,0.012711864,8 Weeks,AJ,WT,M,Alphaproteobacteria
Rhizobiales,BK1,0.002118644,8 Weeks,B6,KO,F,Alphaproteobacteria
Rhizobiales,BK2,0.002118644,8 Weeks,B6,KO,F,Alphaproteobacteria
Rhizobiales,BK3,0.002118644,8 Weeks,B6,KO,F,Alphaproteobacteria
Rhizobiales,BK4,0,8 Weeks,B6,KO,F,Alphaproteobacteria
Rhizobiales,BK5,0.012711864,8 Weeks,B6,KO,F,Alphaproteobacteria
Rhizobiales,BK6,0.008474576,8 Weeks,B6,KO,M,Alphaproteobacteria
Rhizobiales,BK7,0.008474576,8 Weeks,B6,KO,M,Alphaproteobacteria
Rhizobiales,BK8,0.006355932,8 Weeks,B6,KO,M,Alphaproteobacteria
Rhizobiales,BK9,0.01059322,8 Weeks,B6,KO,M,Alphaproteobacteria
Rhizobiales,BK10,0.025423729,8 Weeks,B6,KO,M,Alphaproteobacteria
Rhizobiales,BK11,0.008474576,8 Weeks,B6,KO,M,Alphaproteobacteria
Rhizobiales,BW1,0.027542373,8 Weeks,B6,WT,F,Alphaproteobacteria
Rhizobiales,BW2,0.01059322,8 Weeks,B6,WT,F,Alphaproteobacteria
Rhizobiales,BW3,0.006355932,8 Weeks,B6,WT,F,Alphaproteobacteria
Rhizobiales,BW4,0.004237288,8 Weeks,B6,WT,F,Alphaproteobacteria
Rhizobiales,BW5,0.008474576,8 Weeks,B6,WT,F,Alphaproteobacteria
Rhizobiales,BW6,0.002118644,8 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,BW7,0.002118644,8 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,BW8,0,8 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,BW9,0.002118644,8 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,BW10,0.006355932,8 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,BW11,0.006355932,8 Weeks,B6,WT,M,Alphaproteobacteria
Rhizobiales,AK1,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK2,0.006355932,20 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK3,0.004237288,20 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK4,0.012711864,20 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK5,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK6,0,20 Weeks,AJ,KO,F,Alphaproteobacteria
Rhizobiales,AK7,0.002118644,20 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK8,0.008474576,20 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK9,0.004237288,20 Weeks,AJ,KO,M,Alphaproteobacteria
Rhizobiales,AK10,0,20 Weeks,AJ,KO,M,Alphaproteobacteria
